,Group,X,Y,Z,Z_MAD,U,U_MAD,V,V_MAD,W,W_MAD,Memberships,Number of stars
0,0,-35.717285525336685,-17.139282068068066,-65.7361399643819,34.01027709113176,-113.87568321748414,1.7503375434882111,-16.462087033579113,3.1864404738634344,-25.78061639139812,5.105099483246703,{'NOT FOUND IN DB': 11},11
1,1,-33.83234462413964,3.071001826766483,-3.5977579766545773,88.94129036763131,-113.24877108513246,3.8958383671405072,-15.956757037463932,8.085644554203059,-10.846199380252596,7.198032495760417,{'NOT FOUND IN DB': 11},11
2,2,11.205797987728824,20.08892874634582,23.979953767991013,39.4665933476177,-18.380004664296287,3.813293873654055,-89.6209532272249,5.46254000848964,-12.797220035426836,2.4899154810374937,{'NOT FOUND IN DB': 11},11
3,3,29.581598074689104,-24.531043813344432,-88.6355933512934,33.70583481952993,-67.3629174920229,2.844814643106746,-66.72603882610261,2.6576903147287743,0.7353479078331709,0.96574199439164,{'NOT FOUND IN DB': 10},10
4,5,22.19803752952969,92.56057322380632,4.139691476689984,38.848345680646,8.252129066308704,3.879318055018748,-66.84817765996937,3.3952987570156914,3.434332163810913,4.053284464896953,{'NOT FOUND IN DB': 17},17
5,9,22.2421938949572,-29.597100286347555,73.7140373676208,32.81247434261968,-86.64600935954185,1.9916001642638104,-49.49672411618774,1.9169333134018387,4.109401531321444,2.871484988525284,{'NOT FOUND IN DB': 11},11
6,11,64.13224992245716,2.393891848887778,-45.328195666070826,34.547808017018355,20.332459056354896,3.5388969000056174,-60.94576913128405,2.196725481510874,-2.90921712141192,5.112174085440077,{'NOT FOUND IN DB': 10},10
7,12,-88.90313472811575,55.14405031027033,-92.43486230672642,42.9400178462307,-75.53462805838751,0.5224366713412656,-50.60034037387053,0.9280544865074488,-6.617902536534097,1.5788937085391472,{'NOT FOUND IN DB': 13},13
8,19,-5.562080746779329,-65.93079264272875,-14.60218086438734,22.892346145127423,-83.37995525477656,2.408950355945205,-47.523227667482,2.853730303064252,-5.0933834438117405,1.9177118381630136,{'NOT FOUND IN DB': 13},13
9,21,28.533140595416665,-42.60524501525116,29.91020368991462,10.537806058460976,-18.21333858177173,1.7530940451726562,-64.60789729160653,3.032039278115468,0.7206215541966846,3.44554530183852,{'NOT FOUND IN DB': 13},13
10,22,21.785196228851515,6.502963562541316,4.910203084041432,22.775395497810056,-75.58530331675762,4.242869556882894,-47.25577309006767,1.5883757982060582,-12.075028281687032,2.159171878343018,{'NOT FOUND IN DB': 27},27
11,23,23.28760120042511,4.850038577491856,-16.141128479891552,20.148044100126533,-62.83184257174919,3.640171575503448,-35.635545709528664,1.6005001536967416,4.81258020347135,5.394520526801618,"{'CEPFN': 1, 'NOT FOUND IN DB': 27}",28
12,24,102.66354851668662,-38.37365137665727,-48.493858393009766,37.9566760320909,-13.894324256456148,3.64178277876518,-62.00900988063587,1.563553516781228,-11.722786574399333,4.342770362639953,{'NOT FOUND IN DB': 15},15
13,26,1.2518551288086106,-82.95857063879578,-73.80783212454178,45.85935640118519,-7.170820830129657,1.9937776405394891,-49.31981387951728,0.6774625172848858,-16.195820041561802,1.6468850891262974,"{'NOT FOUND IN DB': 10, 'THEIA233': 1}",11
14,27,-44.55626055317058,6.078571329142341,58.56808003446181,29.945005718702696,3.3432727315044284,2.428043215754844,-50.27960481279227,0.5050201332704527,-13.34613311147802,3.175904946636029,{'NOT FOUND IN DB': 10},10
15,28,-99.8223915180198,-40.21780308998603,1.982351049392826,24.41477154031352,-5.629385485253181,1.8446058433839407,-50.15808152075244,1.9810662158599308,-14.725801337374923,3.5145632784195167,"{'CEPFN': 1, 'NOT FOUND IN DB': 11}",12
16,29,36.80835930084972,-58.39904507973638,62.08253730552645,29.141207193821383,-49.67836036606516,3.26038216163161,-34.166900869635306,2.213828240217527,5.473339208747936,1.0671638687952556,{'NOT FOUND IN DB': 11},11
17,31,27.74923301137291,-20.87483691754216,2.110136664403142,37.52220767451245,3.647374981697349,2.3737784503950112,-49.17732642485008,2.4258679858775603,-6.492817320652724,5.064013685634133,"{'CEPFN': 1, 'CHA': 2, 'FIELD': 1, 'NOT FOUND IN DB': 69, 'PL10': 1, 'VCG4': 2}",76
18,39,20.80986439715116,-7.561490404990206,115.51773660400528,41.01149640707258,-48.78431877542882,0.7102754752163428,-35.665628512896085,1.3795157845588684,-6.661610067780961,1.4298597050679207,{'NOT FOUND IN DB': 11},11
19,42,109.21775543702756,-43.07628724331101,-57.02562350998722,34.26880729953052,-32.51219325024858,3.4367169837742924,-34.985830822297125,1.637540691025842,10.42723961317198,1.507014919229676,{'NOT FOUND IN DB': 19},19
20,43,-48.20685787477792,-23.869465224650163,15.593013228544862,17.731344918188704,-22.103111729350992,1.974255354700822,-40.71599641310573,0.9918920049439752,6.680828548915668,2.345182937076531,{'NOT FOUND IN DB': 20},20
21,44,40.45866251154153,-16.00129491769971,35.83531923368636,54.22785037410299,-25.050343487539912,2.7392787477266527,-37.987508545625104,1.6199325337396444,7.25731508194425,3.185091844112772,{'NOT FOUND IN DB': 29},29
22,46,-24.978823529822517,-5.367171794816954,-90.50650027906816,26.30934775652202,-54.10099756449105,2.3611288445557848,-46.736447754428326,1.965020704233692,-7.589119289428163,1.735763022663516,"{'BL1': 1, 'NOT FOUND IN DB': 10}",11
23,51,112.37064264195456,-35.89662055853016,-7.278614070428282,37.002190622248,-19.981572666044933,2.203901622984396,-45.51903547611597,2.464946135583202,-14.679881742920031,1.5198525169872537,"{'NOT FOUND IN DB': 15, 'THEIA447': 1}",16
24,52,-15.600747039545787,8.094485042108793,-54.5902600237501,31.93229260945198,-38.396246783087456,1.952453077817034,-38.648414321261946,1.0865395961970674,-18.425001384033003,1.893516240196363,{'NOT FOUND IN DB': 11},11
