,Group,X,Y,Z,Z_MAD,U,U_MAD,V,V_MAD,W,W_MAD,Memberships,Number of stars
0,0,-35.717285525336685,-17.139282068068066,-65.7361399643819,34.01027709113176,-113.87568321748414,1.7503375434882111,-16.462087033579113,3.1864404738634344,-25.78061639139812,5.105099483246703,{'NOT FOUND IN DB': 11},11
1,1,-33.83234462413964,3.071001826766483,-3.5977579766545773,88.94129036763131,-113.24877108513246,3.8958383671405072,-15.956757037463932,8.085644554203059,-10.846199380252596,7.198032495760417,{'NOT FOUND IN DB': 11},11
2,2,11.205797987728824,20.08892874634582,23.979953767991013,39.4665933476177,-18.380004664296287,3.813293873654055,-89.6209532272249,5.46254000848964,-12.797220035426836,2.4899154810374937,{'NOT FOUND IN DB': 11},11
3,3,29.581598074689104,-24.531043813344432,-88.6355933512934,33.70583481952993,-67.3629174920229,2.844814643106746,-66.72603882610261,2.6576903147287743,0.7353479078331709,0.96574199439164,{'NOT FOUND IN DB': 10},10
4,4,-42.81939519698952,-38.22399039345176,30.72235574681497,48.38249079678934,47.86332507505584,4.480007791103678,-1.463636397527669,2.179946354717294,-39.99595391360761,3.893449260275996,"{'FIELD': 1, 'NOT FOUND IN DB': 25}",26
5,5,22.19803752952969,92.56057322380632,4.139691476689984,38.848345680646,8.252129066308704,3.879318055018748,-66.84817765996937,3.3952987570156914,3.434332163810913,4.053284464896953,{'NOT FOUND IN DB': 17},17
6,6,28.29671313442588,-36.41865024865673,60.26008016811529,34.30092948849081,-7.254626486079028,1.0513833535719568,26.616469831018435,2.222043195910355,6.045965901433825,4.091876582592249,{'NOT FOUND IN DB': 14},14
7,7,-37.52574737470459,-116.26524419085509,65.6295136058221,29.66075355177017,-57.40085841001985,3.27765243037208,3.2590353666334018,0.9041633927412012,2.10219721885635,1.4647907804251703,{'NOT FOUND IN DB': 10},10
8,8,35.9987390276949,39.695463271933626,27.140011850175423,41.02003321780271,-71.15131089080401,3.488175428309507,-11.698550103733028,1.8755600216824624,-20.429545972585533,1.745935625026053,{'NOT FOUND IN DB': 10},10
9,9,22.2421938949572,-29.597100286347555,73.7140373676208,32.81247434261968,-86.64600935954185,1.9916001642638104,-49.49672411618774,1.9169333134018387,4.109401531321444,2.871484988525284,{'NOT FOUND IN DB': 11},11
10,10,-72.0233211758909,52.92224002703136,-14.20718068526146,18.583870718293657,25.503912322266597,1.787559992016974,-27.028075621370927,2.247911552006837,-41.721674354263726,2.0411998321346987,{'NOT FOUND IN DB': 11},11
11,11,64.13224992245716,2.393891848887778,-45.328195666070826,34.547808017018355,20.332459056354896,3.5388969000056174,-60.94576913128405,2.196725481510874,-2.90921712141192,5.112174085440077,{'NOT FOUND IN DB': 10},10
12,12,-88.90313472811575,55.14405031027033,-92.43486230672642,42.9400178462307,-75.53462805838751,0.5224366713412656,-50.60034037387053,0.9280544865074488,-6.617902536534097,1.5788937085391472,{'NOT FOUND IN DB': 13},13
13,13,4.121750122354786,-16.383746261870986,-25.19601967821461,38.98493626960499,63.20661078641714,2.2328950461705603,1.509310115686609,3.0095887995228257,-14.688831244372327,4.023830076034748,{'NOT FOUND IN DB': 18},18
14,14,22.58871049519041,-100.4044161850274,-41.60338412190047,46.51501311424583,-50.53862362828461,2.6627451074571424,-16.46277178361679,3.458438829482993,-35.65422366605627,2.962332894093599,"{'FIELD': 5, 'NOT FOUND IN DB': 7}",12
15,15,0.1831876284611876,-5.398200292587517,-6.295219499018154,76.0760216153106,62.27332369631225,2.654020907268762,-0.564898743155565,3.489130105014211,-0.973100314406049,2.259870914227993,"{'FIELD': 1, 'NOT FOUND IN DB': 22}",23
16,16,27.784118214440696,-26.118304513910527,-29.229445993209435,50.09490762992026,13.264357170612357,0.9595054652283448,-2.39277543712983,2.0103093130573653,-38.77163172721481,1.8665940959674785,"{'ABDMG': 1, 'NOT FOUND IN DB': 19}",20
17,17,-54.09943566907324,-20.986182003983927,24.5964888936076,50.77729651376577,19.464522258730074,2.7582350921450614,-12.998273136837824,2.0020368883902893,-40.92949505503787,1.3922240189948472,{'NOT FOUND IN DB': 12},12
18,18,40.34557904837012,86.18171118035886,-41.50015553000813,43.91389460314984,-3.9439637104862286,3.7293023549773063,3.418978878768442,3.3631941107254995,-40.662438890427936,1.113128534279942,{'NOT FOUND IN DB': 19},19
19,19,-5.562080746779329,-65.93079264272875,-14.60218086438734,22.892346145127423,-83.37995525477656,2.408950355945205,-47.523227667482,2.853730303064252,-5.0933834438117405,1.9177118381630136,{'NOT FOUND IN DB': 13},13
20,20,107.1642239682543,45.47635526367628,-95.33281606791616,15.234150917309918,-26.830317135258607,6.54698936002728,7.646250515898639,1.2337456688492778,-25.372980022481325,2.664787168188508,{'NOT FOUND IN DB': 12},12
21,21,28.533140595416665,-42.60524501525116,29.91020368991462,10.537806058460976,-18.21333858177173,1.7530940451726562,-64.60789729160653,3.032039278115468,0.7206215541966846,3.44554530183852,{'NOT FOUND IN DB': 13},13
22,22,21.785196228851515,6.502963562541316,4.910203084041432,22.775395497810056,-75.58530331675762,4.242869556882894,-47.25577309006767,1.5883757982060582,-12.075028281687032,2.159171878343018,{'NOT FOUND IN DB': 27},27
23,23,23.28760120042511,4.850038577491856,-16.141128479891552,20.148044100126533,-62.83184257174919,3.640171575503448,-35.635545709528664,1.6005001536967416,4.81258020347135,5.394520526801618,"{'CEPFN': 1, 'NOT FOUND IN DB': 27}",28
24,24,102.66354851668662,-38.37365137665727,-48.493858393009766,37.9566760320909,-13.894324256456148,3.64178277876518,-62.00900988063587,1.563553516781228,-11.722786574399333,4.342770362639953,{'NOT FOUND IN DB': 15},15
