,Group,X,Y,Z,Z_MAD,U,U_MAD,V,V_MAD,W,W_MAD,Memberships,Number of stars
91,174,-10.327588388545198,67.37591067004344,-105.12252032988184,5.678407976434448,-7.320573748801174,1.0198616711394302,-4.041181685955078,0.8203350207372507,-18.33195039812489,1.280488336253204,"{'ABDMG': 6, 'BPMG': 1, 'FIELD': 2, 'GRSCOS27E': 1, 'HYA': 1, 'IC4756': 1, 'L1495': 1, 'LUP': 1, 'PERI': 1, 'ROPH': 4, 'TAU': 1, 'THA': 1, 'THEIA43': 5, 'THEIA45': 2}",28
92,175,-60.02977501500301,6.510710968346192,-98.22333543998283,6.2097312808968255,-9.17617781313754,0.5017391508518969,-4.244603791586759,0.3184148287683289,-18.2085477170587,0.7020066097692249,"{'ABDMG': 3, 'FIELD': 1, 'OH50': 1, 'PERI': 1, 'THA': 7}",13
93,176,-117.91882638738964,-52.7734207827324,-92.51323599179268,2.54666275690564,-11.292550195038588,0.8258700077322395,-5.1514989995981,0.5623067693922104,-18.62360335367557,0.305045118439217,"{'COL': 2, 'ETAU': 1, 'FIELD': 1, 'GRTAU': 1, 'HYA': 1, 'MUTAU': 2, 'OH2': 2, 'PERI': 1, 'PLE': 1, 'TAU': 1}",13
110,195,-4.816138461542183,-161.52038923687698,14.653894489907207,5.128833585004569,-23.459393102801133,0.5697630676024694,-15.907494453192514,0.8089711493980644,-5.897547206595447,0.4928592344012955,"{'CPL9': 1, 'CUMA': 1, 'PLE': 1, 'SPL8': 1, 'SUMA': 3, 'THEIA1285': 1, 'THEIA143': 2, 'THEIA215': 1, 'THEIA233': 4, 'THEIA311': 1, 'THEIA432': 1, 'THEIA447': 2, 'THEIA508': 1, 'THEIA719': 1}",21
111,196,0.3927785814596861,-148.88179937763826,-19.390327305024677,1.0878085112378095,-23.73249236511902,0.3730310041471128,-14.805669604442915,1.8930346818641004,-5.711125398352501,0.3254256013323569,"{'ABDMG': 2, 'ARG': 1, 'BPMG': 1, 'CHAS4': 3, 'CPRA': 12, 'OH9': 2, 'PRA': 5, 'SIC2391': 3, 'SPL8': 5, 'THEIA1011': 1, 'THEIA163': 6, 'THEIA599': 8, 'THEIA698': 2, 'UPK540': 1, 'VCA': 1}",53
141,228,-43.297390629545134,-130.64132519875514,-59.66361634834524,6.509573689663796,-7.465718120969548,0.6733831043815064,-24.94292733046918,1.0352524725868144,-14.184376668545628,0.6490762397034663,"{'NGC2451A': 6, 'SPL9': 1, 'THEIA1015': 1, 'THEIA1191': 1, 'THEIA134': 1, 'THEIA233': 1, 'THEIA536': 2, 'THEIA677': 1, 'THEIA678': 2, 'THEIA74': 1, 'THEIA80': 1, 'THEIA832': 2, 'THEIA99': 3, 'VCG4': 2}",25
143,230,-123.24629557592634,0.3790137151805096,-77.8061633026816,4.274072221794136,-14.64111428396384,0.3828829090993061,-23.98750574036248,0.4442500092264475,-7.09493109677836,0.3753439896514802,"{'GRTAU': 2, 'HYA': 1, 'NGC3228': 1, 'OH0': 2, 'OH19': 1, 'PLE': 5, 'TAU': 1, 'THA': 1}",14
146,233,6.779926143419169,-27.869254052327825,-35.22035652197812,4.200637248676394,-9.757423491994624,0.57623056180277,-20.810341995018764,0.2949639971681456,-0.6383947727922787,0.8277969915335694,"{'ABDMG': 5, 'BPMG': 4, 'CARN': 2, 'COL': 1, 'FIELD': 5, 'GRSCO': 2, 'GRTAUS8A': 1, 'HYA': 2, 'NGC6405': 1, 'OCT': 1, 'PERI': 7, 'PLE': 4, 'ROPH': 1, 'TAU': 1, 'THA': 3, 'THEIA43': 2, 'THEIA45': 1, 'VCG4': 2}",45
147,234,142.76443932776618,-3.874659153822683,-37.0960107356311,4.445643410233982,-4.595779497378485,0.9836893496120336,-17.46717716292738,0.3354744272991486,-8.078128392175739,1.060172754864132,"{'GRSCO': 2, 'HYA': 1, 'OH27': 1, 'PLE': 4, 'ROPH': 1, 'SPL8': 2, 'THEIA211': 7, 'THEIA810': 1, 'THEIA811': 1}",20
149,236,166.68981794932037,-50.98327149114029,13.264356568299917,3.0564100765068773,-3.9566658481604233,1.2021344298644994,-19.63055514601937,0.5790846043531187,-4.189254072530792,0.3950521096004289,"{'ABDMG': 1, 'CUMA': 1, 'GRSCO': 21, 'LUP': 1, 'THEIA43': 2, 'THEIA45': 5}",31
150,237,-23.704371093585163,-54.57819878269143,-43.006268428897066,11.8815123693318,-12.671552565677196,0.4688299284231993,-21.890459978981845,0.4095160296455621,-4.985457751172936,0.599203964511691,"{'ABDMG': 1, 'BPMG': 1, 'COL': 1, 'ETAU': 1, 'GRTAUS4': 1, 'HYA': 1, 'OH2': 2, 'TAU': 3}",11
152,239,140.23980781587164,-24.489538211585486,27.34277889040492,13.73475627138776,-2.5687595787624447,0.9054284515861526,-16.751706790230294,0.4251447740428843,-6.722169449394257,0.5015555472624468,"{'GRSCO': 8, 'GRSCOS22': 1, 'GRX': 1, 'THEIA43': 1, 'THEIA45': 4}",15
153,240,134.17661868423224,-19.174882393245703,52.592638237054274,6.309386030820998,-6.059321496985144,1.678357430179746,-16.021480744185183,0.8149721043857445,-7.785458855566481,1.363192312714983,"{'ABDMG': 1, 'BPMG': 1, 'FIELD': 1, 'GRSCO': 36, 'GRX': 4, 'LUP': 3, 'OH8': 2, 'THEIA43': 9, 'THEIA45': 4}",61
